package,version
abind,1.4-5
acepack,1.4.1
AER,1.2-9
alphavantager,0.1.2
Amelia,1.7.6
anytime,0.3.9
apsrtable,0.8-8
arm,1.11-2
arrayhelpers,1.1-0
ash,1.0-15
askpass,1.1
assertthat,0.2.1
backports,1.1.8
BART,2.7
base,3.6.3
base64enc,0.1-3
bayesplot,1.7.2
bayestestR,0.7.2
bdsmatrix,1.3-4
BH,1.72.0-3
bibtex,0.4.2.3
bindr,0.1.1
bindrcpp,0.2.2
bitops,1.0-6
blme,1.0-4
blob,1.2.1
blogdown,0.21
bookdown,0.21
boot,1.3-25
brew,1.0-6
brglm,0.7.1
brglm2,0.6.2
bridgesampling,1.0-0
brms,2.14.0
Brobdingnag,1.2-6
broom,0.7.1
Cairo,1.5-12.2
callr,3.5.1
car,3.0-10
carData,3.0-4
caret,6.0-86
caTools,1.18.0
cellranger,1.1.0
checkmate,2.0.0
class,7.3-17
classInt,0.4-3
cli,2.1.0
clipr,0.7.1
clisymbols,1.2.0
cluster,2.1.0
clusterGeneration,1.3.5
coda,0.19-4
codetools,0.2-16
coin,1.3-1
colorspace,1.4-1
colourpicker,1.1.0
commonmark,1.7
compactr,0.1
compiler,3.6.3
conquer,1.0.2
corrplot,0.84
countrycode,1.2.0
covr,3.5.1
cowplot,1.1.0
coxed,0.3.3
coxphf,1.13.1
cpp11,0.2.3
cranlogs,2.1.1
crayon,1.3.4
crosstalk,1.1.0.1
curl,4.3
dagitty,0.3-0
data.table,1.13.0
datapasta,3.1.0
datasets,3.6.3
dataverse,0.2.0
DBI,1.1.0
dbplyr,1.4.4
deldir,0.1-29
democracyData,0.2.3
desc,1.2.0
devtools,2.3.2
diagis,0.1.5
dichromat,2.0-0
digest,0.6.25
directlabels,2020.6.17
distributional,0.2.1
doParallel,1.0.15
doRNG,1.8.2
dplyr,1.0.0
DT,0.16
dtplyr,1.0.1
dygraphs,1.1.1.6
e1071,1.7-3
effectsize,0.3.3
ellipsis,0.3.1
emmeans,1.5.1
emojifont,0.5.3
enrichwith,0.3.1
estimability,1.3
evaluate,0.14
expm,0.999-5
extrafont,0.17
extrafontdb,1.0
fansi,0.4.1
farver,2.0.3
fastmap,1.0.1
finalfit,1.0.2
forcats,0.5.0
foreach,1.5.1
forecast,8.13
foreign,0.8-76
formatR,1.7
